Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
04/09/2026,Liga 1 Indonesia,2026/2027,Arema FC,Adhyaksa,6,1P,A. Farisi,Gabriel Silva,,Arema FC,Normal Goal,1621304
04/09/2026,Liga 1 Indonesia,2026/2027,Arema FC,Adhyaksa,14,1P,Diego Landis,Gustavo Franca,,Arema FC,Normal Goal,1621304
04/09/2026,Liga 1 Indonesia,2026/2027,Arema FC,Adhyaksa,45,1P,MV,A. Farisi,,Arema FC,Normal Goal,1621304
04/09/2026,Liga 1 Indonesia,2026/2027,Arema FC,Adhyaksa,85,2P,M. Zijlstra,,,Arema FC,Normal Goal,1621304
04/09/2026,Liga 1 Indonesia,2026/2027,Bali United,PSS Sleman,39,1P,T. Yachida,,,Bali United,Penalty,1621305
04/09/2026,Liga 1 Indonesia,2026/2027,Bali United,PSS Sleman,67,2P,Queven,R. Balk,,Bali United,Normal Goal,1621305
04/09/2026,Liga 1 Indonesia,2026/2027,Bali United,PSS Sleman,90,2P,M. Lorenzen,S. Djoge,,PSS Sleman,Normal Goal,1621305
05/09/2026,Liga 1 Indonesia,2026/2027,Bhayangkara FC,Persebaya Surabaya,13,1P,Y. Mabella,R. Irianto,,Persebaya Surabaya,Normal Goal,1621306
05/09/2026,Liga 1 Indonesia,2026/2027,Bhayangkara FC,Persebaya Surabaya,60,2P,Allano,M. Sidibe,,Bhayangkara FC,Normal Goal,1621306
05/09/2026,Liga 1 Indonesia,2026/2027,PSIM Yogyakarta,Persita,49,2P,Luquinhas,M. Jardel,,Persita,Normal Goal,1621308
05/09/2026,Liga 1 Indonesia,2026/2027,PSIM Yogyakarta,Persita,84,2P,A. Purzycki,,,PSIM Yogyakarta,Normal Goal,1621308
05/09/2026,Liga 1 Indonesia,2026/2027,Persik Kediri,Dewa United,15,1P,R. Struick,,,Dewa United,Normal Goal,1621307
05/09/2026,Liga 1 Indonesia,2026/2027,Pusamania Borneo,Persija,45,1P,A. Jeremejeff,K. Memija,,Persija,Normal Goal,1621309
06/09/2026,Liga 1 Indonesia,2026/2027,Malut United,Garudayaksa,36,1P,Gustavo,Y. Sayuri,,Malut United,Normal Goal,1621310
06/09/2026,Liga 1 Indonesia,2026/2027,Malut United,Garudayaksa,64,2P,S. David,,,Garudayaksa,Normal Goal,1621310
06/09/2026,Liga 1 Indonesia,2026/2027,Persepam Madura Utd,Persijap,54,2P,D. Mitkov,Iran Junior,,Persepam Madura Utd,Normal Goal,1621311
06/09/2026,Liga 1 Indonesia,2026/2027,Persepam Madura Utd,Persijap,90,2P,D. Mitkov,J. Santacruz,,Persepam Madura Utd,Normal Goal,1621311
06/09/2026,Liga 1 Indonesia,2026/2027,Persib Bandung,PSM Makassar,6,1P,K. Tanaka,L. Bulatovic,,PSM Makassar,Normal Goal,1621312
06/09/2026,Liga 1 Indonesia,2026/2027,Persib Bandung,PSM Makassar,48,2P,P. Matricardi,T. Haye,,Persib Bandung,Normal Goal,1621312
06/09/2026,Liga 1 Indonesia,2026/2027,Persib Bandung,PSM Makassar,51,2P,B. Sekulic,A. Alis,,Persib Bandung,Normal Goal,1621312
06/09/2026,Liga 1 Indonesia,2026/2027,Persib Bandung,PSM Makassar,82,2P,Uilliam,L. Menalo,,Persib Bandung,Normal Goal,1621312
21/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kuching FA,11,1P,Marcos Guilherme,,,Johor Darul Takzim FC,Normal Goal,1601116
21/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kuching FA,55,2P,O. Arribas,,,Johor Darul Takzim FC,Normal Goal,1601116
21/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kuching FA,86,2P,S. Zahedi,,,Johor Darul Takzim FC,Normal Goal,1601116
22/08/2026,Super League Malasia,2026/2027,Terengganu,Melaka,12,1P,G. Kastaneer,,,Terengganu,Normal Goal,1601119
22/08/2026,Super League Malasia,2026/2027,Terengganu,Melaka,45,1P,V. Ruiz,,,Terengganu,Normal Goal,1601119
22/08/2026,Super League Malasia,2026/2027,Terengganu,Melaka,80,2P,G. Kastaneer,,,Terengganu,Normal Goal,1601119
22/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Selangor,18,1P,Chrigor Moraes,,,Selangor,Normal Goal,1601118
22/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Selangor,27,1P,F. Halim,,,Selangor,Normal Goal,1601118
22/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Selangor,49,2P,F. Halim,,,Selangor,Normal Goal,1601118
22/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Selangor,60,2P,P. D. Musa,,,Kelantan Red Warrior FC,Normal Goal,1601118
22/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Selangor,75,2P,Chrigor Moraes,,,Selangor,Normal Goal,1601118
23/08/2026,Super League Malasia,2026/2027,Penang,DPMM FC Brunei,63,2P,M. Oliveira,Dalberto,,DPMM FC Brunei,Normal Goal,1601120
24/08/2026,Super League Malasia,2026/2027,Sabah FA,Imigresen,26,1P,D. Ingham,F. Zulkifi,,Sabah FA,Normal Goal,1601121
24/08/2026,Super League Malasia,2026/2027,Sabah FA,Imigresen,29,1P,Rafael Vitor,Z. Arifin,,Imigresen,Normal Goal,1601121
24/08/2026,Super League Malasia,2026/2027,Sabah FA,Imigresen,89,2P,D. Lok,F. Danel,,Sabah FA,Normal Goal,1601121
24/08/2026,Super League Malasia,2026/2027,Sabah FA,Imigresen,90,2P,Park Jung-Bin,F. Zulkifi,,Sabah FA,Normal Goal,1601121
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,2,1P,S. Zahedi,,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,37,1P,S. Zahedi,A. Aiman,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,45,1P,M. Faudzi,,,Johor Darul Takzim FC,Own Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,49,2P,Jairo,M. Hidalgo,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,50,2P,S. Zahedi,N. Mendez,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,61,2P,S. Zahedi,A. Fazail,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,78,2P,M. Nahuel,A. Aiman,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,81,2P,E. Israfilov,A. Aiman,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Kelantan Red Warrior FC,89,2P,A. Aiman,A. Fazail,,Johor Darul Takzim FC,Normal Goal,1601146
26/08/2026,Super League Malasia,2026/2027,Kuala Lumpur FA,Kuching FA,3,1P,A. Mujagic,P. Shitembi,,Kuching FA,Normal Goal,1601147
26/08/2026,Super League Malasia,2026/2027,Kuala Lumpur FA,Kuching FA,25,1P,J. Mpacko Etame,J. Okwuosa,,Kuching FA,Normal Goal,1601147
26/08/2026,Super League Malasia,2026/2027,Kuala Lumpur FA,Kuching FA,48,2P,J. Mpacko Etame,A. Farhan,,Kuching FA,Normal Goal,1601147
26/08/2026,Super League Malasia,2026/2027,Kuala Lumpur FA,Kuching FA,52,2P,J. Mpacko Etame,,,Kuching FA,Normal Goal,1601147
26/08/2026,Super League Malasia,2026/2027,Kuala Lumpur FA,Kuching FA,59,2P,A. Mujagic,D. Wenzel-Halls,,Kuching FA,Normal Goal,1601147
26/08/2026,Super League Malasia,2026/2027,Kuala Lumpur FA,Kuching FA,90,2P,J. Mpacko Etame,J. Pedro,,Kuching FA,Normal Goal,1601147
28/08/2026,Super League Malasia,2026/2027,Sabah FA,Penang,40,1P,G. Di Renzo,Cifu,,Sabah FA,Normal Goal,1601122
28/08/2026,Super League Malasia,2026/2027,Sabah FA,Penang,53,2P,H. Tokyo,F. Zulkifi,,Sabah FA,Normal Goal,1601122
28/08/2026,Super League Malasia,2026/2027,Terengganu,Selangor,59,2P,K. Tejan,,,Selangor,Normal Goal,1601123
28/08/2026,Super League Malasia,2026/2027,Terengganu,Selangor,63,2P,Chrigor Moraes,,,Selangor,Normal Goal,1601123
28/08/2026,Super League Malasia,2026/2027,Terengganu,Selangor,90,2P,Chrigor Moraes,,,Selangor,Normal Goal,1601123
29/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuching FA,7,1P,R. Saifullah,P. Shitembi,,Kuching FA,Normal Goal,1601126
29/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuching FA,15,1P,J. Mpacko Etame,P. Shitembi,,Kuching FA,Normal Goal,1601126
29/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuching FA,45,1P,S. Rasid,,,Kuching FA,Normal Goal,1601126
29/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuching FA,54,2P,J. Mpacko Etame,F. Anyie,,Kuching FA,Normal Goal,1601126
29/08/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuching FA,56,2P,S. Rasid,J. Mpacko Etame,,Kuching FA,Normal Goal,1601126
29/08/2026,Super League Malasia,2026/2027,Kuala Lumpur FA,DPMM FC Brunei,90,2P,Paulo Josue,K. Azizi,,Kuala Lumpur FA,Normal Goal,1601124
29/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Imigresen,17,1P,Bergson,S. Zahedi,,Johor Darul Takzim FC,Normal Goal,1601125
29/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Imigresen,31,1P,Marcos Guilherme,Bergson,,Johor Darul Takzim FC,Normal Goal,1601125
29/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Imigresen,37,1P,Bergson,,,Johor Darul Takzim FC,Normal Goal,1601125
29/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Imigresen,42,1P,K. Medina,A. Aiman,,Johor Darul Takzim FC,Normal Goal,1601125
29/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Imigresen,45,1P,S. Zahedi,A. Aiman,,Johor Darul Takzim FC,Normal Goal,1601125
29/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Imigresen,68,2P,C. Akapo,Jairo,,Johor Darul Takzim FC,Normal Goal,1601125
29/08/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,Imigresen,77,2P,Bergson,,,Johor Darul Takzim FC,Penalty,1601125
30/08/2026,Super League Malasia,2026/2027,Melaka,Negeri Sembilan,20,1P,Y. Minagawa,,,Negeri Sembilan,Normal Goal,1601127
30/08/2026,Super League Malasia,2026/2027,Melaka,Negeri Sembilan,33,1P,N. Agbre,,,Melaka,Normal Goal,1601127
30/08/2026,Super League Malasia,2026/2027,Melaka,Negeri Sembilan,90,2P,Christian,,,Melaka,Normal Goal,1601127
04/09/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,DPMM FC Brunei,38,1P,Bergson,,,Johor Darul Takzim FC,Normal Goal,1601128
04/09/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,DPMM FC Brunei,40,1P,Bergson,A. Aiman,,Johor Darul Takzim FC,Normal Goal,1601128
04/09/2026,Super League Malasia,2026/2027,Johor Darul Takzim FC,DPMM FC Brunei,77,2P,Stoichkov,L. Corbin-Ong,,Johor Darul Takzim FC,Normal Goal,1601128
04/09/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuala Lumpur FA,44,1P,P. D. Musa,E. Mbarga,,Kelantan Red Warrior FC,Normal Goal,1601129
04/09/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuala Lumpur FA,51,2P,A. Azlin,G. Gallifuoco,,Kuala Lumpur FA,Normal Goal,1601129
04/09/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuala Lumpur FA,57,2P,Paulo Josue,,,Kuala Lumpur FA,Normal Goal,1601129
04/09/2026,Super League Malasia,2026/2027,Kelantan Red Warrior FC,Kuala Lumpur FA,81,2P,Paulo Josue,,,Kuala Lumpur FA,Normal Goal,1601129
05/09/2026,Super League Malasia,2026/2027,Negeri Sembilan,Imigresen,39,1P,Pedro Henrique,,,Imigresen,Normal Goal,1601130
05/09/2026,Super League Malasia,2026/2027,Negeri Sembilan,Imigresen,47,2P,M. Atede,,,Imigresen,Normal Goal,1601130
05/09/2026,Super League Malasia,2026/2027,Negeri Sembilan,Imigresen,77,2P,A. Rashid,,,Negeri Sembilan,Penalty,1601130
05/09/2026,Super League Malasia,2026/2027,Negeri Sembilan,Imigresen,90,2P,A. Rashid,,,Negeri Sembilan,Normal Goal,1601130
05/09/2026,Super League Malasia,2026/2027,Sabah FA,Kuching FA,5,1P,A. Mujagic,,,Kuching FA,Normal Goal,1601131
05/09/2026,Super League Malasia,2026/2027,Sabah FA,Kuching FA,21,1P,A. Mujagic,,,Kuching FA,Normal Goal,1601131
06/09/2026,Super League Malasia,2026/2027,Selangor,Melaka,12,1P,Chrigor Moraes,,,Selangor,Normal Goal,1601133
